"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconClose\IconClose.stories.js", "JavaScript", 0, 8, 0, 0, 3, 11
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconClose\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconClose\style.css", "CSS", 7, 0, 0, 0, 1, 8
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconSearchWrapper\IconSearchWrapper.jsx", "JavaScript JSX", 0, 0, 6, 4, 3, 13
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconSearchWrapper\IconSearchWrapper.stories.js", "JavaScript", 0, 8, 0, 0, 3, 11
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconSearchWrapper\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\IconSearchWrapper\style.css", "CSS", 7, 0, 0, 0, 1, 8
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LinkWidget\LinkWidget.jsx", "JavaScript JSX", 0, 0, 204, 4, 4, 212
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LinkWidget\LinkWidget.stories.js", "JavaScript", 0, 30, 0, 0, 3, 33
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LinkWidget\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LinkWidget\style.css", "CSS", 89, 0, 0, 0, 13, 102
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LogoCanvaslogo\LogoCanvaslogo.jsx", "JavaScript JSX", 0, 0, 27, 4, 3, 34
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LogoCanvaslogo\LogoCanvaslogo.stories.js", "JavaScript", 0, 11, 0, 0, 3, 14
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LogoCanvaslogo\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\LogoCanvaslogo\style.css", "CSS", 71, 0, 0, 0, 11, 82
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Scrollbar\Scrollbar.jsx", "JavaScript JSX", 0, 0, 13, 4, 4, 21
